Id;StartDate;ProformaNo;InvoiceDate;InvoiceNumber;CustomerName;CustomerCountry;SalesPeople;TotalPrice;Currency;State;LastModifiedDate
2952;2017-08-24;2316;;;KULAÇ OTO SAN. TİC. LTD. ŞTİ.;;79a14514-381f-472e-a9ef-8e2d03fb5651;900;0;1;
2953;2017-08-24;2317;6.10.2017;3298;INTERVITO;POLAND;614413df-5596-4d01-a932-c870a26ed87e;39,388.27;1;1;
2954;2017-08-23;2310;;;BİLHAN OTO;;79a14514-381f-472e-a9ef-8e2d03fb5651;2,418.00;0;1;
2955;2017-08-23;2311;;;ATA DIŞ TİCARET HASAN SALTAN;;5017c88e-0ce0-4bc1-a362-4222fa152183;327,566.17;0;1;
2956;2017-08-23;2314;29.09.2017;3293;Reza Soleymanpour Makuei;IRAN;614413df-5596-4d01-a932-c870a26ed87e;11,701.33;1;1;
2957;2017-08-21;2303;8.09.2017;3196;EL EZZ FOR IMPORT & TRADING;Egypt;2284ecc5-24c0-4129-8476-4c8c442b2af4;17,763.00;1;1;
2958;2017-08-21;2304;;;WEPA OTOMOTİV YEDEK PARÇA LDT.ŞTİ;TÜRKİYE;79a14514-381f-472e-a9ef-8e2d03fb5651;14,327.50;0;1;
2959;2017-08-18;2300;;;WEPA OTOMOTİV YEDEK PARÇA LDT.ŞTİ;TÜRKİYE;79a14514-381f-472e-a9ef-8e2d03fb5651;950;0;1;
2960;2017-08-18;2301;24.08.2017;;EKATÜRK İNŞAAT MALZEMELERİ İÇ VE DIŞ TİC. LTD. ŞTİ.;;614413df-5596-4d01-a932-c870a26ed87e;257.5;1;1;
2961;2017-08-17;2295;;;Mina Taşıt;TÜRKİYE;5017c88e-0ce0-4bc1-a362-4222fa152183;5,100.00;0;1;
2962;2017-08-17;2296;;;MTN OTOMOTİV-GÖKSEL YILMAZ;TÜRKİYE;9cd501c8-ff6c-45e0-9341-97dd27be4e14;6,741.00;0;1;
2963;2017-08-17;2297;;;BİLHAN OTO;;9cd501c8-ff6c-45e0-9341-97dd27be4e14;10,300.00;0;1;
2964;2017-08-17;2298;1.11.2017;3401;MARGARITIS ANGELOS;GREECE;614413df-5596-4d01-a932-c870a26ed87e;9,900.50;1;1;
2965;2017-08-16;2291;;;MERCAN MOTORLU ARAÇLAR;;5017c88e-0ce0-4bc1-a362-4222fa152183;12,710.00;0;1;
2966;2017-08-16;2294;;;WEPA OTOMOTİV YEDEK PARÇA LDT.ŞTİ;TÜRKİYE;9cd501c8-ff6c-45e0-9341-97dd27be4e14;2,822.50;0;1;
2967;2017-08-15;2290;;;MERCAN MOTORLU ARAÇLAR;;9cd501c8-ff6c-45e0-9341-97dd27be4e14;0;0;1;
2968;2017-08-14;2288;;;ARAS OTOMOTİV-ERHAN DEMİRCİKÖYÜ;TÜRKİYE;79a14514-381f-472e-a9ef-8e2d03fb5651;8,724.80;0;1;
2969;2017-08-11;2284;22.08.2017;3166;Zarget EOOD;BULGARIA;2284ecc5-24c0-4129-8476-4c8c442b2af4;7,065.00;1;1;
2970;2017-08-11;2285;;;BİLHAN OTO;;9cd501c8-ff6c-45e0-9341-97dd27be4e14;1,584.80;0;1;
2971;2017-08-10;2279;;;ATA DIŞ TİCARET HASAN SALTAN;;9cd501c8-ff6c-45e0-9341-97dd27be4e14;35,500.00;0;1;
2972;2017-08-10;2280;;;Mina Taşıt;TÜRKİYE;5017c88e-0ce0-4bc1-a362-4222fa152183;237.5;0;1;
2973;2017-08-10;2281;;;Mina Taşıt;TÜRKİYE;5017c88e-0ce0-4bc1-a362-4222fa152183;980;0;1;
2974;2017-08-10;2283;;;ATA DIŞ TİCARET HASAN SALTAN;;9cd501c8-ff6c-45e0-9341-97dd27be4e14;55,566.00;0;1;
2975;2017-08-09;2276;12.09.2017;3170;IP Saytarly Vitaliy Yuryevich;Russia;9fb5685a-07a1-4334-b883-3d6739b645ad;14,246.00;1;1;
2976;2017-08-09;2277;29.11.2017;3485;FOURNITURES AUTOS ET DERIVES;TUNISIA;f00e7ade-f6c4-464b-a327-028389cd0f80;17,753.48;1;1;
2977;2017-08-09;2278;;;Mina Taşıt;TÜRKİYE;5017c88e-0ce0-4bc1-a362-4222fa152183;810.5;0;1;
2978;2017-08-08;2272;;;SİSTEM OTOMOTİV-CEM SARIYILDIZ;;79a14514-381f-472e-a9ef-8e2d03fb5651;940;0;1;
2979;2017-08-08;2273;;;OTO ÖZTÜRK OTOMOTİV TEKSTİL SAN. VE TİC. LTD. ŞTİ.;TÜRKİYE;79a14514-381f-472e-a9ef-8e2d03fb5651;1,474.00;0;1;
2980;2017-08-08;2274;12.09.2017;33217;T.N.I KERAN SPÓŁKA Z O.O.;POLAND;3ca025a7-a4b4-4d81-93d3-fe755eb34455;15,270.00;1;1;
2981;2017-08-08;2275;;;TUGRA OTOMOTİV-İBRAHİM KARACA;TÜRKİYE;5017c88e-0ce0-4bc1-a362-4222fa152183;10,400.00;0;1;
2982;2017-08-07;2261;24.08.2017;3065;TUNAP;TUNISIA;f00e7ade-f6c4-464b-a327-028389cd0f80;11,510.85;1;1;
2983;2017-08-07;2262;;;Mina Taşıt;TÜRKİYE;9cd501c8-ff6c-45e0-9341-97dd27be4e14;5,678.00;0;1;
2984;2017-08-07;2264;11.09.2017;3210;Carparts import export k.f.t.;Hungary;2284ecc5-24c0-4129-8476-4c8c442b2af4;99,335.94;1;1;
2985;2017-08-07;2265;;;KULAÇ OTO SAN. TİC. LTD. ŞTİ.;;79a14514-381f-472e-a9ef-8e2d03fb5651;12,500.00;0;1;
2986;2017-08-07;2266;11.09.2017;3212;Inout Spa;Hungary;2284ecc5-24c0-4129-8476-4c8c442b2af4;26,950.00;1;1;
2987;2017-08-07;2267;14.09.2017;3214;FTS CAR PARTS IMPORT EXPORT SP. Z.O.O;POLAND;eb0dd5f0-f30a-412b-9049-cbcd29b3fadf;20,100.00;1;1;
2988;2017-08-07;2269;;;Mina Taşıt;TÜRKİYE;9cd501c8-ff6c-45e0-9341-97dd27be4e14;46,745.00;0;1;
2989;2017-08-07;2270;8.09.2017;3197;AutoPrima Plus S.R.O.;POLAND;f00e7ade-f6c4-464b-a327-028389cd0f80;4,056.45;1;1;
2990;2017-08-07;2271;8.09.2017;3198;AutoPrima Plus S.R.O.;POLAND;f00e7ade-f6c4-464b-a327-028389cd0f80;4,946.15;1;1;
2991;2017-07-28;2254;24.10.2017;3315;AUTOLINE Spare Parts Co.;PALESTINE;614413df-5596-4d01-a932-c870a26ed87e;10,661.98;1;1;
2992;2017-07-28;2255;;;WEPA OTOMOTİV YEDEK PARÇA LDT.ŞTİ;TÜRKİYE;9cd501c8-ff6c-45e0-9341-97dd27be4e14;55,004.00;0;1;
2993;2017-07-28;2256;;;Mina Taşıt;TÜRKİYE;5017c88e-0ce0-4bc1-a362-4222fa152183;685;0;1;
2994;2017-07-28;2257;24.08.2017;3062;EHS Gmbh Vertriebscenter;GERMANY;614413df-5596-4d01-a932-c870a26ed87e;127,259.74;1;1;
2995;2017-07-28;2258;15.09.2017;3232;Goodparts sp.z o.o.sp.k;POLAND;614413df-5596-4d01-a932-c870a26ed87e;21,430.00;1;1;
2996;2017-07-28;2259;21.08.2017;3061;INTERVITO;POLAND;614413df-5596-4d01-a932-c870a26ed87e;40,888.31;1;1;
2997;2017-07-27;2251;;;SERKO AUTO YEDEK PARÇA ZÜBEYDE TEKİN;TURKEY;79a14514-381f-472e-a9ef-8e2d03fb5651;330;0;1;
2998;2017-07-27;2252;;;BİLHAN OTO;;9cd501c8-ff6c-45e0-9341-97dd27be4e14;3,187.50;0;1;
2999;2017-07-27;2253;;;MERCAN MOTORLU ARAÇLAR;;5017c88e-0ce0-4bc1-a362-4222fa152183;6,250.00;0;1;
3000;2017-07-26;2247;11.08.2017;3138;Vitobello Ricambi s.r.l.;ITALY;2284ecc5-24c0-4129-8476-4c8c442b2af4;27,177.00;1;1;
3001;2017-07-26;2248;;;WEPA OTOMOTİV YEDEK PARÇA LDT.ŞTİ;TÜRKİYE;9cd501c8-ff6c-45e0-9341-97dd27be4e14;425;0;1;
3002;2017-07-26;2250;20.09.2017;3191;S.I.D.A.T. SPA;ITALY;2284ecc5-24c0-4129-8476-4c8c442b2af4;24,873.00;1;1;
