Id;StartDate;ProformaNo;InvoiceDate;InvoiceNumber;CustomerName;CustomerCountry;SalesPeople;TotalPrice;Currency;State;LastModifiedDate
2311;2018-06-12;3195;;;AUTOWORKS FRANCE;FRANCE;5017c88e-0ce0-4bc1-a362-4222fa152183;14500.00;0;1;
2312;2018-06-12;3196;;;BOĞAZİÇİ OTO;;9cd501c8-ff6c-45e0-9341-97dd27be4e14;19000.00;0;1;
2313;2018-06-11;3189;;;CEYLAN TİCARET;;9cd501c8-ff6c-45e0-9341-97dd27be4e14;11500.00;0;1;
2314;2018-06-11;3190;;;BİLHAN OTO;;9cd501c8-ff6c-45e0-9341-97dd27be4e14;0.00;0;1;
2315;2018-06-11;3191;;;KULAÇ OTO SAN. TİC. LTD. ŞTİ.;;5017c88e-0ce0-4bc1-a362-4222fa152183;15000.00;0;1;
2316;2018-06-09;3188;;;Mina Taşıt;TÜRKİYE;79a14514-381f-472e-a9ef-8e2d03fb5651;0.00;0;1;
2317;2018-06-08;3184;;;Galip Tic.;;9cd501c8-ff6c-45e0-9341-97dd27be4e14;0.00;0;1;
2318;2018-06-08;3185;16.08.2018;ERK2018000000142;DH TRADING;SİNGAPUR;614413df-5596-4d01-a932-c870a26ed87e;31662.72;1;1;
2319;2018-06-08;3186;;;NUMUNE;;5017c88e-0ce0-4bc1-a362-4222fa152183;147.90;0;1;
2320;2018-06-08;3187;;;SERKO AUTO YEDEK PARÇA ZÜBEYDE TEKİN;TURKEY;5017c88e-0ce0-4bc1-a362-4222fa152183;1878.85;0;1;
2321;2018-06-07;3180;;;OTO RECEP;;5017c88e-0ce0-4bc1-a362-4222fa152183;3600.00;0;1;
2322;2018-06-07;3181;;;Mina Taşıt;TÜRKİYE;2bd0f84d-81fd-4c69-8c98-2a6636b3348d;0.00;0;1;
2323;2018-06-07;3182;;;YAMAK TİCARET;;5017c88e-0ce0-4bc1-a362-4222fa152183;2250.00;0;1;
2324;2018-06-07;3183;;;SERKO AUTO YEDEK PARÇA ZÜBEYDE TEKİN;TURKEY;5017c88e-0ce0-4bc1-a362-4222fa152183;1200.00;0;1;
2325;2018-06-06;3179;;;ALBAYRAK;;16fd008b-6da8-48a9-984a-83ecffe7436c;0.00;0;1;
2326;2018-06-05;3174;;;REXUS OTOMOTİV YEDEK PARÇA SAN. VE TİC. A.Ş.;;5017c88e-0ce0-4bc1-a362-4222fa152183;44470.00;0;1;
2327;2018-06-05;3175;;;MERCAN MOTORLU ARAÇLAR;;5017c88e-0ce0-4bc1-a362-4222fa152183;516000.00;0;1;
2328;2018-06-05;3176;;;OTO RECEP;;5017c88e-0ce0-4bc1-a362-4222fa152183;2500.00;0;1;
2329;2018-06-04;3171;;;UEE OTOMOTIV SANAYI VE TICARET LIMITED SIRKETI;;16fd008b-6da8-48a9-984a-83ecffe7436c;0.00;0;1;
2330;2018-06-04;3172;;;ERNAZ SERVİS OTOMOTİV PAZARLAMA SANAYİ VE TİCARET A.Ş;;9cd501c8-ff6c-45e0-9341-97dd27be4e14;0.00;0;1;
2331;2018-06-01;3164;3.08.2018;ERK2018000000165;auto-france.;;614413df-5596-4d01-a932-c870a26ed87e;10030.97;1;1;
2332;2018-06-01;3165;;;APS OTOMOTİV;;5017c88e-0ce0-4bc1-a362-4222fa152183;12.15;0;1;
2333;2018-06-01;3166;26.06.2018;ERK20180000000129;OOO PIK-PLUS;RUSSIA;2284ecc5-24c0-4129-8476-4c8c442b2af4;4953.95;1;1;
2334;2018-06-01;3167;;;MERCAN MOTORLU ARAÇLAR;;2bd0f84d-81fd-4c69-8c98-2a6636b3348d;58275.34;0;1;
2335;2018-06-01;3168;16.08.2018;ERK2018000000209;Zenit-auto;Ukraine;2284ecc5-24c0-4129-8476-4c8c442b2af4;21219.99;1;1;
2336;2018-06-01;3169;;;APS OTOMOTİV;;5017c88e-0ce0-4bc1-a362-4222fa152183;771.77;0;1;
2337;2018-06-01;3170;;;OYLUM;;2bd0f84d-81fd-4c69-8c98-2a6636b3348d;42372.50;0;1;
2338;2018-05-31;3155;;;Doron Shoham LTD.;ISRAEL;614413df-5596-4d01-a932-c870a26ed87e;7810.90;1;1;
2339;2018-05-31;3156;;;BOĞAZİÇİ OTO;;9cd501c8-ff6c-45e0-9341-97dd27be4e14;43200.00;0;1;
2340;2018-05-31;3158;20.07.2018;ERK201800000149;EHS Gmbh Vertriebscenter;GERMANY;614413df-5596-4d01-a932-c870a26ed87e;54833.40;1;1;
2341;2018-05-31;3159;;;BOĞAZİÇİ OTO;;9cd501c8-ff6c-45e0-9341-97dd27be4e14;13000.00;0;1;
2342;2018-05-31;3160;;;OYLUM;;9cd501c8-ff6c-45e0-9341-97dd27be4e14;5668.00;0;1;
2343;2018-05-31;3161;;;BOĞAZİÇİ OTO;;9cd501c8-ff6c-45e0-9341-97dd27be4e14;37500.00;0;1;
2344;2018-05-30;3149;4.06.2018;ERK2018000000118;Zarget EOOD;BULGARIA;2284ecc5-24c0-4129-8476-4c8c442b2af4;6989.00;1;1;
